date,time,age,confirmed
2020-04-28,0,0s,140
2020-04-28,0,10s,590
2020-04-28,0,20s,2948
2020-04-28,0,30s,1154
2020-04-28,0,40s,1423
2020-04-28,0,50s,1955
2020-04-28,0,60s,1348
2020-04-28,0,70s,709
2020-04-28,0,80s,485
2020-04-29,0,0s,140
2020-04-29,0,10s,590
2020-04-29,0,20s,2951
2020-04-29,0,30s,1156
2020-04-29,0,40s,1426
2020-04-29,0,50s,1956
2020-04-29,0,60s,1348
2020-04-29,0,70s,709
2020-04-29,0,80s,485
2020-04-30,0,0s,140
2020-04-30,0,10s,590
2020-04-30,0,20s,2952
2020-04-30,0,30s,1158
2020-04-30,0,40s,1427
2020-04-30,0,50s,1956
2020-04-30,0,60s,1348
2020-04-30,0,70s,709
2020-04-30,0,80s,485
2020-05-01,0,0s,140
2020-05-01,0,10s,590
2020-05-01,0,20s,2957
2020-05-01,0,30s,1159
2020-05-01,0,40s,1429
2020-05-01,0,50s,1956
2020-05-01,0,60s,1348
2020-05-01,0,70s,709
2020-05-01,0,80s,486
2020-05-02,0,0s,140
2020-05-02,0,10s,590
2020-05-02,0,20s,2960
2020-05-02,0,30s,1160
2020-05-02,0,40s,1430
2020-05-02,0,50s,1956
2020-05-02,0,60s,1349
2020-05-02,0,70s,709
2020-05-02,0,80s,486
2020-05-03,0,0s,140
2020-05-03,0,10s,591
2020-05-03,0,20s,2962
2020-05-03,0,30s,1163
2020-05-03,0,40s,1432
2020-05-03,0,50s,1956
2020-05-03,0,60s,1351
2020-05-03,0,70s,710
2020-05-03,0,80s,488
2020-05-04,0,0s,140
2020-05-04,0,10s,591
2020-05-04,0,20s,2964
2020-05-04,0,30s,1164
2020-05-04,0,40s,1435
2020-05-04,0,50s,1956
2020-05-04,0,60s,1353
2020-05-04,0,70s,710
2020-05-04,0,80s,488
2020-05-05,0,0s,140
2020-05-05,0,10s,591
2020-05-05,0,20s,2964
2020-05-05,0,30s,1165
2020-05-05,0,40s,1436
2020-05-05,0,50s,1957
2020-05-05,0,60s,1353
2020-05-05,0,70s,710
2020-05-05,0,80s,488
2020-05-06,0,0s,140
2020-05-06,0,10s,591
2020-05-06,0,20s,2964
2020-05-06,0,30s,1166
2020-05-06,0,40s,1436
2020-05-06,0,50s,1957
2020-05-06,0,60s,1354
2020-05-06,0,70s,710
2020-05-06,0,80s,488
2020-05-07,0,0s,140
2020-05-07,0,10s,592
2020-05-07,0,20s,2966
2020-05-07,0,30s,1167
2020-05-07,0,40s,1436
2020-05-07,0,50s,1957
2020-05-07,0,60s,1354
2020-05-07,0,70s,710
2020-05-07,0,80s,488
2020-05-08,0,0s,141
2020-05-08,0,10s,592
2020-05-08,0,20s,2967
2020-05-08,0,30s,1174
2020-05-08,0,40s,1438
2020-05-08,0,50s,1957
2020-05-08,0,60s,1355
2020-05-08,0,70s,710
2020-05-08,0,80s,488
2020-05-09,0,0s,141
2020-05-09,0,10s,594
2020-05-09,0,20s,2979
2020-05-09,0,30s,1177
2020-05-09,0,40s,1438
2020-05-09,0,50s,1958
2020-05-09,0,60s,1355
2020-05-09,0,70s,710
2020-05-09,0,80s,488
2020-05-10,0,0s,141
2020-05-10,0,10s,597
2020-05-10,0,20s,2998
2020-05-10,0,30s,1180
2020-05-10,0,40s,1442
2020-05-10,0,50s,1960
2020-05-10,0,60s,1357
2020-05-10,0,70s,711
2020-05-10,0,80s,488
2020-05-11,0,0s,141
2020-05-11,0,10s,598
2020-05-11,0,20s,3019
2020-05-11,0,30s,1188
2020-05-11,0,40s,1446
2020-05-11,0,50s,1960
2020-05-11,0,60s,1358
2020-05-11,0,70s,711
2020-05-11,0,80s,488
2020-05-12,0,0s,142
2020-05-12,0,10s,602
2020-05-12,0,20s,3029
2020-05-12,0,30s,1194
2020-05-12,0,40s,1448
2020-05-12,0,50s,1963
2020-05-12,0,60s,1358
2020-05-12,0,70s,711
2020-05-12,0,80s,489
2020-05-13,0,0s,143
2020-05-13,0,10s,603
2020-05-13,0,20s,3042
2020-05-13,0,30s,1199
2020-05-13,0,40s,1450
2020-05-13,0,50s,1964
2020-05-13,0,60s,1359
2020-05-13,0,70s,712
2020-05-13,0,80s,490
2020-05-14,0,0s,143
2020-05-14,0,10s,614
2020-05-14,0,20s,3056
2020-05-14,0,30s,1202
2020-05-14,0,40s,1451
2020-05-14,0,50s,1964
2020-05-14,0,60s,1359
2020-05-14,0,70s,712
2020-05-14,0,80s,490
2020-05-15,0,0s,145
2020-05-15,0,10s,617
2020-05-15,0,20s,3066
2020-05-15,0,30s,1207
2020-05-15,0,40s,1453
2020-05-15,0,50s,1965
2020-05-15,0,60s,1361
2020-05-15,0,70s,714
2020-05-15,0,80s,490
2020-05-16,0,0s,147
2020-05-16,0,10s,619
2020-05-16,0,20s,3074
2020-05-16,0,30s,1209
2020-05-16,0,40s,1454
2020-05-16,0,50s,1966
2020-05-16,0,60s,1364
2020-05-16,0,70s,714
2020-05-16,0,80s,490
2020-05-17,0,0s,147
2020-05-17,0,10s,620
2020-05-17,0,20s,3079
2020-05-17,0,30s,1211
2020-05-17,0,40s,1457
2020-05-17,0,50s,1967
2020-05-17,0,60s,1364
2020-05-17,0,70s,715
2020-05-17,0,80s,490
2020-05-18,0,0s,147
2020-05-18,0,10s,621
2020-05-18,0,20s,3082
2020-05-18,0,30s,1215
2020-05-18,0,40s,1462
2020-05-18,0,50s,1968
2020-05-18,0,60s,1365
2020-05-18,0,70s,715
2020-05-18,0,80s,490
2020-05-19,0,0s,148
2020-05-19,0,10s,621
2020-05-19,0,20s,3087
2020-05-19,0,30s,1215
2020-05-19,0,40s,1462
2020-05-19,0,50s,1971
2020-05-19,0,60s,1368
2020-05-19,0,70s,716
2020-05-19,0,80s,490
2020-05-20,0,0s,148
2020-05-20,0,10s,627
2020-05-20,0,20s,3100
2020-05-20,0,30s,1219
2020-05-20,0,40s,1468
2020-05-20,0,50s,1972
2020-05-20,0,60s,1369
2020-05-20,0,70s,717
2020-05-20,0,80s,490
2020-05-21,0,0s,148
2020-05-21,0,10s,631
2020-05-21,0,20s,3103
2020-05-21,0,30s,1221
2020-05-21,0,40s,1471
2020-05-21,0,50s,1972
2020-05-21,0,60s,1369
